,ENSG00000000460.17,ENSG00000004776.13,ENSG00000010319.7,ENSG00000010379.16,ENSG00000011201.12,ENSG00000012822.16,ENSG00000019169.10,ENSG00000022267.19,ENSG00000031081.11,ENSG00000034971.17,ENSG00000036473.8,ENSG00000043591.6,ENSG00000046653.15,ENSG00000047648.23,ENSG00000055813.6,ENSG00000059573.9,ENSG00000064989.13,ENSG00000066056.14,ENSG00000066405.13,ENSG00000069702.11,ENSG00000070193.5,ENSG00000070778.13,ENSG00000072163.20,ENSG00000072657.9,ENSG00000073754.6,ENSG00000077522.14,ENSG00000078081.8,ENSG00000079308.19,ENSG00000080618.17,ENSG00000086232.13,ENSG00000092051.17,ENSG00000092964.18,ENSG00000094963.14,ENSG00000095370.20,ENSG00000095713.14,ENSG00000096063.16,ENSG00000100307.13,ENSG00000101280.8,ENSG00000101307.16,ENSG00000101331.17,ENSG00000101811.14,ENSG00000102003.11,ENSG00000102104.9,ENSG00000102683.8,ENSG00000102760.13,ENSG00000103241.7,ENSG00000104967.8,ENSG00000105227.16,ENSG00000105339.11,ENSG00000105538.10,ENSG00000105971.15,ENSG00000105974.13,ENSG00000106089.12,ENSG00000107242.20,ENSG00000107295.10,ENSG00000107738.20,ENSG00000107742.13,ENSG00000108381.11,ENSG00000108576.10,ENSG00000109205.16,ENSG00000111052.7,ENSG00000111897.7,ENSG00000112137.18,ENSG00000112214.10,ENSG00000112320.12,ENSG00000112782.19,ENSG00000112902.12,ENSG00000113396.13,ENSG00000114113.6,ENSG00000114654.7,ENSG00000114790.13,ENSG00000114854.8,ENSG00000115361.8,ENSG00000115380.20,ENSG00000116016.14,ENSG00000116194.13,ENSG00000118526.7,ENSG00000120156.22,ENSG00000120279.6,ENSG00000120903.13,ENSG00000120907.18,ENSG00000120913.23,ENSG00000121691.7,ENSG00000122679.8,ENSG00000122694.16,ENSG00000122852.15,ENSG00000123119.12,ENSG00000123473.16,ENSG00000125459.17,ENSG00000126785.13,ENSG00000127241.18,ENSG00000128050.9,ENSG00000128059.8,ENSG00000128268.12,ENSG00000128849.11,ENSG00000129596.5,ENSG00000130307.12,ENSG00000130762.15,ENSG00000131471.7,ENSG00000131477.11,ENSG00000131831.18,ENSG00000132622.11,ENSG00000133116.8,ENSG00000133121.21,ENSG00000133561.15,ENSG00000133661.17,ENSG00000133800.9,ENSG00000134020.8,ENSG00000134115.13,ENSG00000134201.12,ENSG00000134917.10,ENSG00000135052.16,ENSG00000135063.19,ENSG00000135218.19,ENSG00000135363.12,ENSG00000135604.10,ENSG00000135917.16,ENSG00000136160.17,ENSG00000137135.18,ENSG00000137441.8,ENSG00000137857.17,ENSG00000138669.9,ENSG00000138821.13,ENSG00000139304.16,ENSG00000139567.13,ENSG00000140505.7,ENSG00000140600.17,ENSG00000141338.14,ENSG00000142273.13,ENSG00000142748.13,ENSG00000143167.12,ENSG00000143171.13,ENSG00000143590.14,ENSG00000144843.11,ENSG00000147526.20,ENSG00000147689.16,ENSG00000148488.17,ENSG00000148677.7,ENSG00000149403.13,ENSG00000149564.12,ENSG00000150048.10,ENSG00000150625.16,ENSG00000150977.10,ENSG00000151718.16,ENSG00000152580.8,ENSG00000154133.15,ENSG00000154175.18,ENSG00000154342.6,ENSG00000154721.15,ENSG00000154764.6,ENSG00000154783.12,ENSG00000155511.18,ENSG00000155660.11,ENSG00000155897.10,ENSG00000156076.10,ENSG00000157554.19,ENSG00000157654.19,ENSG00000158246.8,ENSG00000158435.8,ENSG00000158764.7,ENSG00000159307.19,ENSG00000159708.18,ENSG00000160957.14,ENSG00000161649.13,ENSG00000162062.15,ENSG00000162367.11,ENSG00000162520.15,ENSG00000162687.19,ENSG00000162722.9,ENSG00000163501.7,ENSG00000163513.19,ENSG00000163815.6,ENSG00000164035.10,ENSG00000164161.10,ENSG00000164466.13,ENSG00000164659.15,ENSG00000164764.11,ENSG00000165197.5,ENSG00000165312.6,ENSG00000165495.16,ENSG00000165810.17,ENSG00000166025.18,ENSG00000166123.14,ENSG00000166265.13,ENSG00000166292.12,ENSG00000166482.12,ENSG00000167261.14,ENSG00000167434.10,ENSG00000167588.13,ENSG00000168309.18,ENSG00000168481.9,ENSG00000168484.12,ENSG00000168497.5,ENSG00000168539.4,ENSG00000168907.13,ENSG00000168952.15,ENSG00000169218.14,ENSG00000169252.6,ENSG00000169418.10,ENSG00000169744.13,ENSG00000170323.9,ENSG00000170989.10,ENSG00000171115.4,ENSG00000171509.16,ENSG00000171777.16,ENSG00000171819.5,ENSG00000171885.18,ENSG00000172159.16,ENSG00000173114.13,ENSG00000173269.14,ENSG00000173706.14,ENSG00000175832.13,ENSG00000176435.7,ENSG00000176771.17,ENSG00000177098.9,ENSG00000177469.13,ENSG00000177788.6,ENSG00000178084.2,ENSG00000179133.15,ENSG00000179776.19,ENSG00000180198.16,ENSG00000180440.4,ENSG00000181072.11,ENSG00000182010.11,ENSG00000182255.7,ENSG00000182575.8,ENSG00000183010.17,ENSG00000183019.7,ENSG00000183087.15,ENSG00000183090.5,ENSG00000183378.12,ENSG00000183607.10,ENSG00000184905.9,ENSG00000185432.12,ENSG00000185737.13,ENSG00000186871.7,ENSG00000186994.11,ENSG00000187950.8,ENSG00000188536.13,ENSG00000189129.14,ENSG00000196549.12,ENSG00000196616.14,ENSG00000197256.11,ENSG00000197415.12,ENSG00000197465.14,ENSG00000197471.12,ENSG00000197852.12,ENSG00000197930.13,ENSG00000198358.4,ENSG00000198624.13,ENSG00000198844.12,ENSG00000198848.13,ENSG00000198873.12,ENSG00000203878.11,ENSG00000204305.14,ENSG00000204949.9,ENSG00000213853.10,ENSG00000224215.1,ENSG00000224397.7,ENSG00000225683.6,ENSG00000227051.7,ENSG00000228401.5,ENSG00000228692.2,ENSG00000229619.4,ENSG00000231322.5,ENSG00000232188.1,ENSG00000232234.4,ENSG00000233746.2,ENSG00000234281.5,ENSG00000234880.1,ENSG00000235385.2,ENSG00000235387.5,ENSG00000237167.1,ENSG00000238018.2,ENSG00000241644.2,ENSG00000243566.7,ENSG00000244215.2,ENSG00000244280.1,ENSG00000246430.7,ENSG00000248551.1,ENSG00000249364.6,ENSG00000249741.2,ENSG00000253959.1,ENSG00000254951.7,ENSG00000257894.2,ENSG00000259417.3,ENSG00000260398.1,ENSG00000260908.1,ENSG00000261143.1,ENSG00000261371.6,ENSG00000261863.1,ENSG00000263155.6,ENSG00000263586.1,ENSG00000266120.1,ENSG00000266524.3,ENSG00000267107.8,ENSG00000268388.6,ENSG00000268505.1,ENSG00000272379.1,ENSG00000272473.1,ENSG00000275612.1,ENSG00000276644.5,ENSG00000276668.1,ENSG00000277494.2,ENSG00000277758.5,ENSG00000280339.1,ENSG00000282012.1,ENSG00000286256.2,ENSG00000286997.1,Label
TCGA-73-4658-01A-01R-1755-07,158,218,487,5,1463,2088,2133,1768,1872,8,0,76,128,300,53,4851,2428,1918,607,759,21,852,903,27,0,9,3473,8834,89,8714,20,9728,2011,843,280,1767,631,16,450,81,706,92,10,24,3172,650,250,329,1414,444,3668,4412,338,132,4,3352,3269,39,63,4,140,8839,141,315,140,433,1107,1,5,118,555,52,42,7997,21109,173,95,710,581,0,2,1048,5329,859,1757,74787,52,231,349,838,86,4283,718,146,1262,97,67,668,4131,754,450,358,78,579,1490,956,764,402,12,101,97,9748,117,724,750,651,62,1483,91,14,314,52,5264,1,1913,1,7,316,309,334,29,13,313,725,4868,7492,45,53,7,2534,151,57,954,1023,92,1118,1157,7,480,24,1328,36,17149,0,46,1357,6707,283,2011,6,62,29,304,9,177,125,144,55,18,6,9970,182,800,125,1810,757,38,61,803,106,89,1382,668,756,155,4783,172,69,55,1270,61,13310,3149,1,103,132,26,199,637,914,202,1884,876,44,156,3,1184,108,45,1449,5630,639,1420,150,294,14928,226,1,4,2703,2505,1,4,275,0,113,3643,173,4210,2,1,73,6,3409,15,84,177,5,298,331,63,2279,5010,92,14,1283,289,7878,0,1478,504,2386,1279,10,998,271,9604,2,633,1,832,12,1,113,10,0,1,0,6,2,3,37,0,8,1669,82,1,8,58,0,14,16,1,6,10,15,6,21,4,13100,1,39,10,0,88,272,216,2,78,1,1,149,0,79,17,37,10,10,15,1
TCGA-55-8615-01A-11R-2403-07,212,47,298,1,114,3259,1518,122,353,1,0,1267,221,299,110,7340,531,949,16,82,1,671,324,0,0,5,842,10033,270,17139,20,4687,275,426,183,1917,195,6,49,34,800,129,4,1,1038,167,130,266,1102,1087,241,500,549,9,1,677,616,34,35,0,33,3777,71,77,55,31,241,0,3,62,270,19,1,3358,23801,12,23,143,180,0,2,210,2038,190,903,218181,10,256,827,220,43,4029,494,50,1438,17,65,1605,750,328,146,94,5543,338,280,7822,171,55,2,39,6,27085,154,317,186,72,70,224,286,12,5076,43,1687,7,935,0,0,63,1660,81,3,16,74,229,2878,6314,12,4,0,1371,61,2,811,568,35,388,83,2,211,2,421,1,35447,0,498,522,2360,61,2884,17,324,53,1351,0,254,55,33,19,1,83,3224,5599,162,4,1996,125,631,11,686,21,165,456,11072,276,54,619,70,14,54,148,2,282,275,0,205,12,16,125,282,363,34,501,310,7,55,0,178,97,9,691,3009,3853,714,1166,171,2802,903,0,0,1322,2056,0,1,350,1,54,4515,258,1125,0,0,44,2,1021,6,192,109,4,262,83,467,32,1989,13,3,324,553,5890,0,555,234,211,1679,0,531,155,1988,0,409,8,186,8,0,42,1,15,0,9,2,0,3,13,1,37,300,1,0,0,3,0,8,0,1,1,4,5,1,4,6,3665,0,11,1,11,78,94,24,0,36,0,0,61,0,90,5,21,5,12,8,1
TCGA-97-8177-01A-11R-2287-07,321,155,241,15,2956,4174,7467,1702,2716,2,2,262,1175,301,20,5747,1872,2091,1034,1194,47,702,1317,49,6,38,15644,19132,94,13769,88,15593,2139,1503,2066,2334,2033,33,335,133,1326,270,11,54,5613,415,243,343,3035,692,3173,4404,670,1381,58,5378,2648,72,16,207,189,11638,704,70,281,2522,378,0,11,351,612,795,594,8436,12552,81,253,596,578,1,25,2096,11434,809,3810,192847,750,297,746,1040,48,4972,781,299,1850,192,171,2381,5925,1156,1167,526,244,814,1372,17436,355,2429,58,353,476,9235,749,2257,1326,927,277,717,164,47,1261,58,23573,3,2499,1,21,631,872,52,77,149,337,703,8081,424,56,74,47,9073,226,73,2896,1573,206,1113,1775,184,800,81,1387,37,27776,5,998,1547,4190,178,5332,1,65,1931,431,16,402,174,103,153,15,37,9157,138,1109,159,5445,1271,233,524,1865,209,111,1940,3510,843,140,14188,640,7,421,296,382,121279,3103,2,1049,107,73,588,604,999,159,1485,682,32,345,4,5723,153,48,1339,2776,2042,1873,211,381,15842,868,15,12,3016,2843,21,2,221,6,360,5966,1450,11108,7,13,338,44,5725,6,142,301,8,1633,568,718,3492,5586,2109,37,2058,615,7823,1,2673,784,4374,1243,388,6188,27,16278,2,2121,2,948,22,4,183,134,2,9,10,17,8,53,75,0,43,1371,333,3,76,48,0,11,13,6,2,40,46,64,87,51,19030,4,128,8,2,252,347,113,0,443,9,2,165,2,622,89,82,119,32,49,1
TCGA-67-3771-01A-01R-0946-07,339,40,238,12,812,3950,1872,520,718,3,1,232,66,120,7,3596,742,452,86,167,9,434,431,8,3,54,1723,5763,28,10423,30,1748,828,436,151,996,1491,2,172,45,593,940,1,21,2114,166,316,485,2458,755,1915,8280,354,253,3,2122,1646,29,30,0,74,8431,43,35,409,547,266,35,1,34,570,1247,10,2128,3870,65,49,162,135,2,0,557,4069,301,985,1306,225,658,1072,287,122,2997,518,132,438,53,52,1382,1527,190,251,185,31,245,836,734,203,12,6,79,53,3498,193,708,2300,320,428,395,231,5,409,71,1641,6,840,5,2,99,985,182,86,11,466,660,3494,756,65,176,35,636,53,26,949,424,174,255,823,4,231,3,312,13,16742,4,620,359,3588,133,4767,18,23,41,456,8,143,32,75,31,205,7,6926,60,162,23,1587,310,65,40,620,95,71,689,945,232,129,1604,184,16,24,344,6,546,1320,2,169,40,12,55,137,321,63,646,566,19,60,1,606,133,24,715,2048,721,420,68,101,3407,1250,5,4,857,900,109,1,744,4,43,4162,724,1650,1,4,9,59,2129,5,154,88,11,313,69,296,863,1607,219,31,465,217,29322,1,1238,168,23281,442,1,306,17,5178,1,375,5,307,4,0,64,20,0,0,2,7,2,19,19,13,21,300,1145,30,2,28,0,20,17,0,0,50,9,12,6,3,5288,0,11,2,3,19,126,37,0,27,9,0,39,1,66,8,17,3,10,8,1
TCGA-49-6744-01A-11R-1858-07,242,84,572,6,3688,3469,6389,2505,3135,9,4,74,362,285,46,7329,2158,1710,3258,1204,67,787,1136,52,7,52,5610,18911,298,11145,108,14848,3174,1124,1094,1727,1044,36,619,92,910,52,12,51,2976,686,233,640,1588,848,3880,7067,277,584,11,3477,5452,59,54,7,208,10586,264,299,184,2007,980,7,22,318,523,433,142,5946,23743,186,424,949,558,2,51,916,5478,607,2141,43200,101,338,592,812,102,4800,814,191,2095,104,105,1465,4950,680,806,283,208,1021,1462,9986,577,485,82,268,623,10703,490,2394,688,588,276,1004,164,29,1433,81,5850,15,2125,10,10,707,1198,339,103,41,214,1183,6547,2174,128,99,48,2151,324,152,1507,2046,669,1093,2421,37,769,129,1428,212,19644,11,2613,1325,5426,740,2632,43,226,65,165,147,126,265,106,116,50,10,11372,361,629,514,1753,988,169,913,991,354,582,1775,1755,1265,527,8588,282,179,338,1932,257,59646,5051,6,531,307,122,418,807,1408,217,2848,1309,150,198,20,4253,163,207,2054,5877,1556,1853,349,392,12176,667,4,17,3188,2796,21,16,938,8,292,4435,722,4739,10,3,49,44,5387,4,118,152,25,1083,247,896,5318,4263,470,24,1804,245,5740,2,3551,461,2305,1304,21,5354,49,13843,3,1086,0,585,12,4,141,90,1,2,8,35,13,57,51,2,77,3816,320,6,102,70,5,34,7,4,5,59,56,16,51,42,13679,4,65,11,0,396,408,234,8,139,9,1,243,0,785,54,62,36,85,22,1
TCGA-MP-A4SW-01A-21R-A24X-07,267,11,204,19,579,4540,5323,607,2314,1,1,129,282,106,23,5418,691,930,802,491,12,747,791,10,7,16,4890,12161,38,7015,44,6945,815,855,401,1378,1579,15,464,54,890,64,9,8,1376,249,105,882,3350,302,2730,2716,609,303,2,2788,3053,39,77,19,65,7620,293,44,98,2145,288,6,5,138,953,249,413,3753,10718,29,64,299,197,5,3,932,5652,520,1594,400229,65,869,721,362,35,4695,555,1630,1511,58,110,4998,1447,313,311,198,34,458,694,17185,94,169,50,81,152,10695,1081,824,470,428,33,396,383,18,1318,57,9991,11,979,0,1,286,1391,268,45,41,115,545,2644,5609,41,24,13,1596,117,44,1144,1013,115,472,865,37,320,33,833,40,22739,7,65,418,2504,122,7254,6,58,311,1897,2,493,84,170,26,11,48,6119,70,303,32,1633,329,111,108,1014,57,231,1039,2178,302,99,1643,359,18,150,250,66,14284,941,2,419,41,7,237,575,420,58,661,522,27,134,6,5280,55,29,692,1973,2206,692,43,228,6015,563,4,9,1118,4675,4,0,388,0,79,5376,282,6826,2,54,128,16,4545,5,153,263,15,162,263,473,649,3377,2546,21,1583,165,6675,3,1670,334,829,837,22,1583,171,17168,0,1010,0,313,8,1,83,6,0,10,2,8,4,7,75,0,64,621,260,0,79,11,0,15,5,7,0,8,36,5,17,21,6128,13,38,3,0,62,154,114,3,230,8,6,74,1,145,39,40,33,23,13,1
TCGA-97-8176-01A-11R-2403-07,370,66,455,7,879,3368,2687,461,910,6,1,38,158,148,13,7407,1289,1563,547,662,1,371,333,11,1,4,2046,5547,424,10133,27,3442,482,873,1067,2939,270,17,287,65,1470,41,3,9,825,367,193,359,1642,423,1611,1978,1183,524,11,1303,6882,12,15,1,95,3940,140,51,74,308,334,12,11,130,534,88,112,1470,11294,53,52,439,295,1,1,303,2616,640,669,28431,49,880,643,395,119,7531,611,252,633,36,105,2020,832,481,210,317,49,408,485,3546,568,562,44,67,49,23679,155,755,342,203,176,454,271,22,1428,101,2717,4,1232,1,9,72,1140,1529,69,14,76,668,2242,11806,56,111,24,1425,99,60,1239,769,107,744,345,15,304,112,594,18,22751,0,2907,605,2366,94,3442,3,47,91,1388,7,534,87,46,38,28,22,5453,102,390,157,2051,483,46,35,306,80,131,1539,8233,445,150,1098,191,56,70,368,51,4019,871,6,253,66,3,91,461,449,50,1092,500,45,157,1,1883,49,18,1580,2721,1219,1202,57,118,3841,1024,1,16,2242,2203,3,0,328,0,19,6130,198,2238,1,16,307,32,1494,5,269,200,4,303,101,99,351,3063,394,7,363,359,5265,2,2388,496,2560,1706,1,1231,316,4722,0,384,0,183,11,1,55,9,1,2,3,8,0,5,50,1,29,242,383,0,12,3,0,10,5,8,5,25,14,9,34,12,6215,1,80,8,0,31,302,177,10,92,1,1,123,1,133,21,33,7,6,10,1
TCGA-97-7552-01A-11R-2039-07,193,100,412,25,1641,5771,1430,4506,3650,42,5,116,452,619,41,5073,3906,2315,88132,2881,94,1571,783,60,11,75,14824,15326,6,9122,95,12190,4307,2103,1487,2130,2104,20,208,102,906,103,19,11,2090,837,210,704,2330,506,6320,8986,494,2153,11,5320,8460,275,40,59,164,16392,425,310,309,4666,1541,93,9,357,576,257,279,5456,19261,305,632,1306,613,3,51,1081,8330,926,2571,267003,610,432,239,917,471,2792,636,1343,3267,160,121,2102,5345,844,1113,341,243,1222,3343,16308,509,883,84,202,725,22735,607,1128,962,824,82,2289,139,50,4414,75,7762,86,1873,2,12,1634,1104,777,435,72,36,1178,9468,833,539,73,87,2767,167,260,2146,2212,1330,1107,3985,23,1075,224,2432,344,13426,0,78,1166,8610,160,3189,44,567,85,178,45,49,115,111,153,35,1503,26913,327,1432,1666,2136,739,201,377,1430,393,406,2764,1031,1087,385,9129,216,256,130,553,43,11575,2792,15,266,552,69,390,553,1066,37,2058,1757,161,188,6,13624,1092,209,1822,5406,619,2490,410,766,9047,368,50,90,4058,1624,0,17,1108,22,231,740,66,5239,8,22,570,67,11491,190,75,261,5,98,160,166,7091,5155,730,54,4026,267,9088,3,5299,889,3708,2065,47,5753,22,8333,9,502,14,1089,34,2,124,228,0,13,3,42,8,8,36,1,73,2095,1334,1,101,36,0,32,23,4,19,75,59,23,147,105,16857,6,211,22,1,254,633,622,16,145,6,0,434,3,386,172,84,53,3,41,1
TCGA-55-A48Z-01A-12R-A24X-07,409,42,104,3,1492,2903,1707,552,726,0,0,48,294,143,35,3967,345,707,9,272,27,597,941,3,6,58,1153,11161,17,12193,32,4654,960,680,2431,1350,1493,5,183,47,2506,106,0,20,1048,344,121,579,2423,350,1799,1782,1420,268,16,2035,1669,9,10,0,96,7453,224,12,243,455,2222,4,2,73,478,28,69,2268,8117,38,57,199,178,3,1,822,1969,244,2962,3250,67,607,706,290,42,4741,773,349,1760,50,60,2374,2694,322,639,232,140,484,536,160,86,37,100,149,56,15087,1028,125,330,285,201,247,383,9,660,63,3508,0,1416,1,0,93,704,54,26,25,491,588,2288,3773,150,15,51,3468,77,18,515,880,37,556,906,10,503,11,710,3,12582,2,23,619,3804,37,5903,0,66,41,2498,2,660,66,22,76,8,8,4298,39,173,625,3438,1220,660,24,1071,76,74,1031,1386,232,2266,4249,196,6,40,32,1,135,251,0,156,82,12,374,757,381,10,338,340,10,129,1,298,193,50,443,2285,3128,494,171,237,9330,1408,0,20,1122,3404,9,0,587,0,95,2670,28,4112,1,0,0,56,1650,10,265,114,1,136,167,915,56,4482,150,10,739,190,18999,0,859,284,886,458,0,348,118,6471,8,416,0,816,14,2,75,14,1,2,2,19,0,31,23,0,59,158,160,0,6,10,1,34,1,0,2,20,25,15,13,3,5341,0,46,0,1,21,83,69,0,239,5,0,114,0,64,2,36,2,2,10,1
TCGA-50-5944-01A-11R-1755-07,147,162,147,38,4727,3565,5129,4030,3500,27,7,555,375,298,17,2885,981,796,201,1602,131,1404,751,148,2,95,4699,29834,36,9212,58,27988,3686,409,176,1265,1107,46,126,36,640,102,4,18,3262,413,111,485,1360,205,4933,4674,47,422,74,1389,645,77,6,67,88,12743,723,160,277,5991,1358,6,47,309,832,293,135,9346,14183,197,364,422,222,12,17,1001,4530,210,1370,9249,72,337,330,568,174,2461,432,110,2705,188,38,729,8020,222,469,117,149,749,566,5154,132,999,845,362,971,3290,441,1546,327,439,149,422,34,8,780,237,6737,43,908,13,2,1409,63,32,48,23,49,619,5996,191,73,56,33,1006,68,173,1770,2158,173,491,3588,16,383,6,778,303,26588,0,7053,2058,3766,311,3318,2,115,22,244,14,140,99,119,129,17,15,13302,201,266,170,1647,714,81,499,623,287,128,2874,1350,447,167,13814,141,5,472,144,105,19163,3410,2,676,141,75,522,233,533,154,567,488,27,152,8,11703,204,160,717,3213,681,777,116,894,13991,415,2,9,1322,1773,1,13,144,38,290,2193,678,4960,2,4,168,41,6103,3,117,67,30,161,362,201,6582,8615,2946,6,1160,487,3539,0,904,253,3947,627,3,2399,2,21053,2,465,0,2344,13,4,318,21,0,3,2,7,15,19,19,0,25,3065,72,8,48,356,0,29,7,21,6,391,27,18,175,55,6872,0,33,1,0,1012,99,178,4,257,3,0,179,1,140,25,130,92,2,41,1
