"Package","Version"
"abind","1.4-8"
"askpass","1.2.1"
"assorthead","1.6.3"
"backports","1.5.1"
"base","4.6.1"
"base64enc","0.1-6"
"beachmat","2.28.0"
"beeswarm","0.4.0"
"BH","1.90.0-1"
"Biobase","2.72.0"
"BiocGenerics","0.58.1"
"BiocIO","1.22.0"
"biocmake","1.4.0"
"BiocManager","1.30.27"
"BiocNeighbors","2.6.0"
"BiocParallel","1.46.0"
"BiocSingular","1.28.0"
"BiocVersion","3.23.1"
"Biostrings","2.80.1"
"bit","4.6.0"
"bit64","4.8.2"
"bitops","1.1-0"
"blob","1.3.0"
"bluster","1.22.0"
"boot","1.3-32"
"BPCells","0.3.1"
"broom","1.0.13"
"bslib","0.12.0"
"cachem","1.1.0"
"callr","3.8.0"
"car","3.1-5"
"carData","3.0-6"
"caTools","1.18.4"
"cellranger","1.1.0"
"cigarillo","1.2.1"
"class","7.3-24"
"cli","3.6.6"
"clipr","0.8.1"
"cluster","2.1.8.3"
"codetools","0.2-20"
"colorspace","2.1-3"
"commonmark","2.0.0"
"compiler","4.6.1"
"conflicted","1.2.0"
"corrplot","0.95"
"cowplot","1.2.0"
"cpp11","0.5.5"
"crayon","1.5.3"
"crosstalk","1.2.2"
"curl","7.1.0"
"data.table","1.18.4"
"datasets","4.6.1"
"DBI","1.3.0"
"dbplyr","2.6.0"
"DelayedArray","0.38.2"
"deldir","2.0-4"
"Deriv","4.3.0"
"DESeq2","1.52.0"
"digest","0.6.39"
"dir.expiry","1.20.0"
"doBy","4.7.2"
"dotCall64","1.2"
"dplyr","1.2.1"
"dqrng","0.4.1"
"dtplyr","1.3.3"
"edgeR","4.10.1"
"evaluate","1.0.5"
"farver","2.1.2"
"fastDummies","1.7.6"
"fastmap","1.2.0"
"filelock","1.0.3"
"fitdistrplus","1.2-6"
"FNN","1.1.4.1"
"fontawesome","0.5.3"
"forcats","1.0.1"
"forecast","9.0.2"
"foreign","0.8-91"
"formatR","1.14"
"Formula","1.2-6"
"fracdiff","1.5-4"
"fs","2.1.0"
"futile.logger","1.4.9"
"futile.options","1.0.1"
"future","1.75.0"
"future.apply","1.20.2"
"gargle","1.6.1"
"generics","0.1.4"
"GenomeInfoDb","1.48.0"
"GenomicAlignments","1.48.0"
"GenomicRanges","1.64.0"
"ggbeeswarm","0.7.3"
"ggplot2","4.0.3"
"ggpubr","1.0.0"
"ggrepel","0.9.8"
"ggridges","0.5.7"
"ggsci","5.2.0"
"ggsignif","0.6.4"
"globals","0.19.1"
"glue","1.8.1"
"goftest","1.2-3"
"googledrive","2.1.2"
"googlesheets4","1.1.2"
"gplots","3.3.0"
"graphics","4.6.1"
"grDevices","4.6.1"
"grid","4.6.1"
"gridExtra","2.3.1"
"gtable","0.3.6"
"gtools","3.9.5"
"haven","2.5.5"
"hdf5r","1.3.12"
"here","1.0.2"
"hexbin","1.28.6"
"highr","0.12"
"hms","1.1.4"
"htmltools","0.5.9"
"htmlwidgets","1.6.4"
"httpuv","1.6.17"
"httr","1.4.8"
"ica","1.0-3"
"ids","1.0.1"
"igraph","2.3.3"
"IRanges","2.46.0"
"irlba","2.3.7"
"isoband","0.3.0"
"jquerylib","0.1.4"
"jsonlite","2.0.0"
"KernSmooth","2.23-26"
"knitr","1.51"
"labeling","0.4.3"
"lambda.r","1.2.4"
"later","1.4.8"
"lattice","0.22-9"
"lazyeval","0.2.3"
"lifecycle","1.0.5"
"limma","3.68.4"
"listenv","1.0.0"
"lme4","2.0-6"
"lmtest","0.9-40"
"locfit","1.5-9.12"
"lubridate","1.9.5"
"magrittr","2.0.5"
"MASS","7.3-66"
"Matrix","1.7-6"
"MatrixGenerics","1.24.0"
"MatrixModels","0.5-4"
"matrixStats","1.5.0"
"memoise","2.0.1"
"metapod","1.20.0"
"methods","4.6.1"
"mgcv","1.9-4"
"mime","0.13"
"miniUI","0.1.2"
"minqa","1.2.8"
"modelr","0.1.11"
"nlme","3.1-170"
"nloptr","2.2.1"
"nnet","7.3-21"
"numDeriv","2016.8-1.1"
"openssl","2.4.2"
"otel","0.2.0"
"parallel","4.6.1"
"parallelly","1.48.0"
"patchwork","1.3.2"
"pbapply","1.7-4"
"pbkrtest","0.5.5"
"pheatmap","1.0.13"
"pillar","1.11.1"
"pkgconfig","2.0.3"
"plotly","4.12.1"
"plyr","1.8.9"
"png","0.1-9"
"polyclip","1.10-7"
"polynom","1.4-1"
"presto","1.0.0"
"prettyunits","1.2.0"
"processx","3.9.0"
"progress","1.2.3"
"progressr","1.0.0"
"promises","1.5.0"
"ps","1.9.3"
"purrr","1.2.2"
"quantreg","6.1"
"R6","2.6.1"
"ragg","1.5.2"
"RANN","2.6.2"
"rappdirs","0.3.4"
"rbibutils","2.4.1"
"RColorBrewer","1.1-3"
"Rcpp","1.1.2"
"RcppAnnoy","0.0.23"
"RcppArmadillo","15.4.2-1"
"RcppEigen","0.3.4.0.2"
"RcppHNSW","0.7.0"
"RcppML","0.3.7.1"
"RcppProgress","0.4.2"
"RcppTOML","0.2.3"
"RCurl","1.98-1.19"
"Rdpack","2.6.6"
"readr","2.2.0"
"readxl","1.5.0"
"reformulas","0.4.4"
"rematch","2.0.0"
"rematch2","2.1.2"
"remotes","2.5.0"
"reprex","2.1.1"
"reshape2","1.4.5"
"restfulr","0.0.17"
"reticulate","1.46.0"
"Rhtslib","3.8.0"
"Rigraphlib","1.4.0"
"rjson","0.2.23"
"rlang","1.3.0"
"rmarkdown","2.31"
"ROCR","1.0-12"
"rpart","4.1.27"
"rprojroot","2.1.1"
"Rsamtools","2.28.0"
"RSpectra","0.16-2"
"rstatix","1.1.0"
"rstudioapi","0.19.0"
"rsvd","1.0.5"
"rtracklayer","1.72.0"
"Rtsne","0.17"
"rvest","1.0.5"
"S4Arrays","1.12.0"
"S4Vectors","0.50.1"
"S7","0.2.2"
"sass","0.4.10"
"ScaledMatrix","1.20.0"
"scales","1.4.0"
"scater","1.40.2"
"scattermore","1.2"
"scDblFinder","1.26.7"
"scran","1.40.0"
"scrapper","1.6.3"
"sctransform","0.4.3"
"scuttle","1.22.0"
"selectr","0.6-0"
"Seqinfo","1.2.0"
"Seurat","5.5.1"
"SeuratObject","5.4.0"
"shiny","1.14.0"
"SingleCellExperiment","1.34.0"
"sitmo","2.0.2"
"snow","0.4-4"
"sourcetools","0.1.7-2"
"sp","2.2-3"
"spam","2.11-4"
"SparseArray","1.12.2"
"SparseM","1.84-2"
"spatial","7.3-19"
"spatstat.data","3.1-9"
"spatstat.explore","3.8-2"
"spatstat.geom","3.8-2"
"spatstat.random","3.5-1"
"spatstat.sparse","3.2-0"
"spatstat.univar","3.2-0"
"spatstat.utils","3.2-4"
"splines","4.6.1"
"statmod","1.5.2"
"stats","4.6.1"
"stats4","4.6.1"
"stringi","1.8.9"
"stringr","1.6.0"
"SummarizedExperiment","1.42.0"
"survival","3.8-9"
"sys","3.4.3"
"systemfonts","1.3.2"
"tcltk","4.6.1"
"tensor","1.5.1"
"textshaping","1.0.5"
"tibble","3.3.1"
"tidyr","1.3.2"
"tidyselect","1.2.1"
"tidyverse","2.0.0"
"timechange","0.4.0"
"timeDate","4052.112"
"tinytex","0.60"
"tools","4.6.1"
"tzdb","0.5.0"
"UCSC.utils","1.7.1"
"umap","0.2.10.0"
"urca","1.3-4"
"utf8","1.2.6"
"utils","4.6.1"
"uuid","1.2-2"
"uwot","0.2.4"
"vctrs","0.7.3"
"vipor","0.4.7"
"viridis","0.6.5"
"viridisLite","0.4.3"
"vroom","1.7.1"
"withr","3.0.3"
"writexl","2.0.0"
"xfun","0.60"
"xgboost","3.2.1.1"
"XML","3.99-0.23"
"xml2","1.6.0"
"xtable","1.8-8"
"XVector","0.52.0"
"yaml","2.3.12"
"zoo","1.9-0"
