"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.00188089222231503,3,43,114.024916943522,"GO:0097242 amyloid-beta clearance "," http://amigo.geneontology.org/amigo/term/GO:0097242"," MSR1  CD36  MARCO"
0.00206003620728556,3,63,77.8265306122449,"GO:0006911 phagocytosis engulfment "," http://amigo.geneontology.org/amigo/term/GO:0006911"," MARCO  MSR1  CD36"
0.00206003620728556,2,7,466.959183673469,"GO:0010886 positive regulation of cholesterol storage "," http://amigo.geneontology.org/amigo/term/GO:0010886"," MSR1  CD36"
0.0022487751372766,3,72,68.0982142857143,"GO:0099024 plasma membrane invagination "," http://amigo.geneontology.org/amigo/term/GO:0099024"," MARCO  MSR1  CD36"
0.00230905335787215,4,272,24.0346638655462,"GO:0006909 phagocytosis "," http://amigo.geneontology.org/amigo/term/GO:0006909"," SIRPB1  MARCO  MSR1  CD36"
0.00230905335787215,3,81,60.531746031746,"GO:0010324 membrane invagination "," http://amigo.geneontology.org/amigo/term/GO:0010324"," MARCO  MSR1  CD36"
0.00230905335787215,2,11,297.155844155844,"GO:0140052 cellular response to oxidised low-density lipoprotein particle stimulus "," http://amigo.geneontology.org/amigo/term/GO:0140052"," ADTRP  CD36"
0.00245657101983708,7,1695,6.74955752212389,"GO:0016192 vesicle-mediated transport "," http://amigo.geneontology.org/amigo/term/GO:0016192"," MARCO  SIRPB1  CD36  LGI3  MSR1  PRAM1  OLR1"
0.00245657101983708,3,94,52.1603343465046,"GO:1905954 positive regulation of lipid localization "," http://amigo.geneontology.org/amigo/term/GO:1905954"," MSR1  CD36  ABCA3"
0.00357950098031907,2,19,172.037593984962,"GO:0010744 positive regulation of macrophage derived foam cell differentiation "," http://amigo.geneontology.org/amigo/term/GO:0010744"," MSR1  CD36"
0.00357950098031907,2,18,181.595238095238,"GO:0010885 regulation of cholesterol storage "," http://amigo.geneontology.org/amigo/term/GO:0010885"," MSR1  CD36"
0.00357950098031907,2,18,181.595238095238,"GO:0042953 lipoprotein transport "," http://amigo.geneontology.org/amigo/term/GO:0042953"," CD36  MSR1"
0.00357950098031907,2,19,172.037593984962,"GO:0044872 lipoprotein localization "," http://amigo.geneontology.org/amigo/term/GO:0044872"," CD36  MSR1"
0.00357950098031907,7,1874,6.10485592315902,"GO:0051049 regulation of transport "," http://amigo.geneontology.org/amigo/term/GO:0051049"," SIRPB1  STAC  LGI3  PRAM1  CD36  ABCA3  ADTRP"
0.00371077734851441,2,20,163.435714285714,"GO:0010878 cholesterol storage "," http://amigo.geneontology.org/amigo/term/GO:0010878"," MSR1  CD36"
0.00391089965292662,10,4823,3.38867332128788,"GO:0006810 transport "," http://amigo.geneontology.org/amigo/term/GO:0006810"," MARCO  SIRPB1  CD36  STAC  ABCA3  LGI3  MSR1  PRAM1  OLR1  ADTRP"
0.00480393490893706,2,26,125.71978021978,"GO:0010884 positive regulation of lipid storage "," http://amigo.geneontology.org/amigo/term/GO:0010884"," MSR1  CD36"
0.00480393490893706,8,2945,4.43967984477322,"GO:0032879 regulation of localization "," http://amigo.geneontology.org/amigo/term/GO:0032879"," MSR1  SIRPB1  STAC  LGI3  PRAM1  CD36  ABCA3  ADTRP"
0.00480393490893706,10,4987,3.2772350969664,"GO:0051234 establishment of localization "," http://amigo.geneontology.org/amigo/term/GO:0051234"," MARCO  SIRPB1  CD36  STAC  ABCA3  LGI3  MSR1  PRAM1  OLR1  ADTRP"
0.00480393490893706,3,159,30.8369272237197,"GO:1905952 regulation of lipid localization "," http://amigo.geneontology.org/amigo/term/GO:1905952"," MSR1  CD36  ABCA3"
0.00604719607053836,2,30,108.957142857143,"GO:0055094 response to lipoprotein particle "," http://amigo.geneontology.org/amigo/term/GO:0055094"," CD36  ADTRP"
0.00656466712581203,2,32,102.147321428571,"GO:0010743 regulation of macrophage derived foam cell differentiation "," http://amigo.geneontology.org/amigo/term/GO:0010743"," MSR1  CD36"
0.00656466712581203,5,958,8.53004771846108,"GO:0014070 response to organic cyclic compound "," http://amigo.geneontology.org/amigo/term/GO:0014070"," MSR1  CD36  GPD1  ABCA3  ADTRP"
0.00656466712581203,2,33,99.051948051948,"GO:0071402 cellular response to lipoprotein particle stimulus "," http://amigo.geneontology.org/amigo/term/GO:0071402"," CD36  ADTRP"
0.00775810194606205,2,37,88.3436293436293,"GO:0010742 macrophage derived foam cell differentiation "," http://amigo.geneontology.org/amigo/term/GO:0010742"," MSR1  CD36"
0.00787138968305012,2,38,86.0187969924812,"GO:0090077 foam cell differentiation "," http://amigo.geneontology.org/amigo/term/GO:0090077"," MSR1  CD36"
0.0108664849017605,2,46,71.0590062111801,"GO:0034381 plasma lipoprotein particle clearance "," http://amigo.geneontology.org/amigo/term/GO:0034381"," MSR1  CD36"
0.0108664849017605,4,591,11.0616388687455,"GO:0060627 regulation of vesicle-mediated transport "," http://amigo.geneontology.org/amigo/term/GO:0060627"," SIRPB1  LGI3  PRAM1  CD36"
0.0136942892427257,4,634,10.3114015322217,"GO:0006897 endocytosis "," http://amigo.geneontology.org/amigo/term/GO:0006897"," MARCO  CD36  MSR1  OLR1"
0.0158482134812773,3,274,17.8944212721585,"GO:0006898 receptor-mediated endocytosis "," http://amigo.geneontology.org/amigo/term/GO:0006898"," CD36  MARCO  MSR1"
0.0164945807148996,2,60,54.4785714285714,"GO:0010883 regulation of lipid storage "," http://amigo.geneontology.org/amigo/term/GO:0010883"," MSR1  CD36"
0.0170595545966158,2,62,52.721198156682,"GO:0043277 apoptotic cell clearance "," http://amigo.geneontology.org/amigo/term/GO:0043277"," MARCO  CD36"
0.0216706835384096,2,71,46.0382293762575,"GO:0030193 regulation of blood coagulation "," http://amigo.geneontology.org/amigo/term/GO:0030193"," CD36  ADTRP"
0.0222281371934192,2,73,44.7769080234834,"GO:1900046 regulation of hemostasis "," http://amigo.geneontology.org/amigo/term/GO:1900046"," CD36  ADTRP"
0.0233925817200628,2,76,43.0093984962406,"GO:0050818 regulation of coagulation "," http://amigo.geneontology.org/amigo/term/GO:0050818"," CD36  ADTRP"
0.0245603905124358,2,79,41.376130198915,"GO:0097006 regulation of plasma lipoprotein particle levels "," http://amigo.geneontology.org/amigo/term/GO:0097006"," MSR1  CD36"
0.0263572013344722,2,83,39.382099827883,"GO:0030301 cholesterol transport "," http://amigo.geneontology.org/amigo/term/GO:0030301"," MSR1  CD36"
0.0298012374873399,5,1478,5.5289483858496,"GO:0019220 regulation of phosphate metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0019220"," MARCO  CD36  GPD1  ADTRP  ABCA3"
0.0298012374873399,5,1479,5.52521008403361,"GO:0051174 regulation of phosphorus metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0051174"," MARCO  CD36  GPD1  ADTRP  ABCA3"
0.0304345517938561,2,94,34.773556231003,"GO:0019915 lipid storage "," http://amigo.geneontology.org/amigo/term/GO:0019915"," MSR1  CD36"
0.0304345517938561,2,93,35.147465437788,"GO:0050766 positive regulation of phagocytosis "," http://amigo.geneontology.org/amigo/term/GO:0050766"," SIRPB1  CD36"
0.030779334075472,4,869,7.52293276343909,"GO:0061024 membrane organization "," http://amigo.geneontology.org/amigo/term/GO:0061024"," MARCO  MSR1  CD36  ABCA3"
0.0309683779304109,4,876,7.46281800391389,"GO:0042327 positive regulation of phosphorylation "," http://amigo.geneontology.org/amigo/term/GO:0042327"," MARCO  CD36  GPD1  ADTRP"
0.0320488278536113,2,100,32.6871428571429,"GO:0015918 sterol transport "," http://amigo.geneontology.org/amigo/term/GO:0015918"," MSR1  CD36"
0.0330998098155815,1,3,544.785714285714,"GO:0055095 lipoprotein particle mediated signaling "," http://amigo.geneontology.org/amigo/term/GO:0055095"," CD36"
0.0330998098155815,1,3,544.785714285714,"GO:0055096 low-density lipoprotein particle mediated signaling "," http://amigo.geneontology.org/amigo/term/GO:0055096"," CD36"
0.0330998098155815,1,3,544.785714285714,"GO:0070543 response to linoleic acid "," http://amigo.geneontology.org/amigo/term/GO:0070543"," CD36"
0.033279567106455,3,417,11.7579650565262,"GO:0006869 lipid transport "," http://amigo.geneontology.org/amigo/term/GO:0006869"," CD36  ABCA3  MSR1"
0.0339945171940528,1,4,408.589285714286,"GO:0003332 negative regulation of extracellular matrix constituent secretion "," http://amigo.geneontology.org/amigo/term/GO:0003332"," ADTRP"
