"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
2.42620612374157e-05,4,151,43.2942289498581,"Path:hsa04145 Phagosome","http://www.genome.jp/kegg-bin/show_pathway?hsa04145 "," MSR1  OLR1  MARCO  CD36"
0.0515040425570333,2,214,15.2743658210948,"Path:hsa05417 Lipid and atherosclerosis","http://www.genome.jp/kegg-bin/show_pathway?hsa05417 "," OLR1  CD36"
0.0717860580359753,1,45,36.3190476190476,"Path:hsa02010 ABC transporters","http://www.genome.jp/kegg-bin/show_pathway?hsa02010 "," ABCA3"
0.0717860580359753,1,43,38.0083056478405,"Path:hsa04975 Fat digestion and absorption","http://www.genome.jp/kegg-bin/show_pathway?hsa04975 "," CD36"
0.0717860580359753,1,51,32.046218487395,"Path:hsa04979 Cholesterol metabolism","http://www.genome.jp/kegg-bin/show_pathway?hsa04979 "," CD36"
0.0717860580359753,1,49,33.3542274052478,"Path:hsa05144 Malaria","http://www.genome.jp/kegg-bin/show_pathway?hsa05144 "," CD36"
0.0801395370443617,1,99,16.508658008658,"Path:hsa00564 Glycerophospholipid metabolism","http://www.genome.jp/kegg-bin/show_pathway?hsa00564 "," GPD1"
0.0801395370443617,1,75,21.7914285714286,"Path:hsa03320 PPAR signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa03320 "," OLR1"
0.0801395370443617,1,121,13.5070838252656,"Path:hsa04152 AMPK signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04152 "," CD36"
0.0801395370443617,1,126,12.9710884353741,"Path:hsa04380 Osteoclast differentiation","http://www.genome.jp/kegg-bin/show_pathway?hsa04380 "," SIRPB1"
0.0801395370443617,1,88,18.5722402597403,"Path:hsa04512 ECM-receptor interaction","http://www.genome.jp/kegg-bin/show_pathway?hsa04512 "," CD36"
0.0801395370443617,1,99,16.508658008658,"Path:hsa04640 Hematopoietic cell lineage","http://www.genome.jp/kegg-bin/show_pathway?hsa04640 "," CD36"
0.0801395370443617,1,108,15.1329365079365,"Path:hsa04931 Insulin resistance","http://www.genome.jp/kegg-bin/show_pathway?hsa04931 "," CD36"
0.117324584577036,1,203,8.05102040816326,"Path:hsa05415 Diabetic cardiomyopathy","http://www.genome.jp/kegg-bin/show_pathway?hsa05415 "," CD36"
