,ENSG00000022267.19,ENSG00000031081.11,ENSG00000047648.23,ENSG00000066405.13,ENSG00000070778.13,ENSG00000072163.20,ENSG00000072657.9,ENSG00000073754.6,ENSG00000078081.8,ENSG00000092051.17,ENSG00000094963.14,ENSG00000101280.8,ENSG00000102104.9,ENSG00000102683.8,ENSG00000102760.13,ENSG00000105971.15,ENSG00000105974.13,ENSG00000107742.13,ENSG00000108381.11,ENSG00000108576.10,ENSG00000109205.16,ENSG00000111052.7,ENSG00000112782.19,ENSG00000114790.13,ENSG00000114854.8,ENSG00000115361.8,ENSG00000118526.7,ENSG00000120156.22,ENSG00000120913.23,ENSG00000121691.7,ENSG00000123119.12,ENSG00000125459.17,ENSG00000128268.12,ENSG00000131471.7,ENSG00000131831.18,ENSG00000134020.8,ENSG00000134115.13,ENSG00000134917.10,ENSG00000135052.16,ENSG00000135063.19,ENSG00000135218.19,ENSG00000135604.10,ENSG00000136160.17,ENSG00000138821.13,ENSG00000139304.16,ENSG00000139567.13,ENSG00000140600.17,ENSG00000141338.14,ENSG00000143590.14,ENSG00000144843.11,ENSG00000150625.16,ENSG00000151718.16,ENSG00000154342.6,ENSG00000154721.15,ENSG00000154783.12,ENSG00000155511.18,ENSG00000155897.10,ENSG00000157654.19,ENSG00000158435.8,ENSG00000158764.7,ENSG00000159307.19,ENSG00000159708.18,ENSG00000161649.13,ENSG00000163501.7,ENSG00000163815.6,ENSG00000165197.5,ENSG00000166123.14,ENSG00000167434.10,ENSG00000167588.13,ENSG00000168309.18,ENSG00000168481.9,ENSG00000168484.12,ENSG00000168497.5,ENSG00000168539.4,ENSG00000168952.15,ENSG00000169218.14,ENSG00000169252.6,ENSG00000169418.10,ENSG00000170323.9,ENSG00000170989.10,ENSG00000171885.18,ENSG00000176771.17,ENSG00000179133.15,ENSG00000180440.4,ENSG00000182010.11,ENSG00000183010.17,ENSG00000183019.7,ENSG00000186994.11,ENSG00000196616.14,ENSG00000197465.14,ENSG00000198358.4,ENSG00000198873.12,ENSG00000204305.14,ENSG00000213853.10,ENSG00000224215.1,ENSG00000227051.7,ENSG00000234281.5,ENSG00000238018.2,ENSG00000241644.2,ENSG00000243566.7,ENSG00000244215.2,ENSG00000244280.1,ENSG00000248551.1,ENSG00000249741.2,ENSG00000257894.2,ENSG00000261371.6,ENSG00000261863.1,ENSG00000263155.6,ENSG00000268388.6,ENSG00000277494.2,Label
TCGA-73-4658-01A-01R-1755-07,1768,1872,300,607,852,903,27,0,3473,20,2011,16,10,24,3172,3668,4412,3269,39,63,4,140,433,555,52,42,95,710,1048,5329,52,349,146,4131,450,402,12,97,9748,117,724,651,1483,5264,1,1913,7,316,313,725,57,1023,7,480,1328,36,0,6707,2011,6,62,29,9,6,182,61,668,69,55,1270,61,13310,3149,1,132,26,199,637,202,1884,1184,150,4,1,275,3643,173,177,2279,14,0,1279,998,9604,2,832,6,8,1669,82,1,8,0,16,10,13100,1,39,216,79,1
TCGA-55-8615-01A-11R-2403-07,122,353,299,16,671,324,0,0,842,20,275,6,4,1,1038,241,500,616,34,35,0,33,31,270,19,1,23,143,210,2038,10,827,50,750,146,55,2,6,27085,154,317,72,224,1687,7,935,0,63,74,229,2,568,2,211,421,1,0,2360,2884,17,324,53,0,83,5599,11,11072,14,54,148,2,282,275,0,12,16,125,282,34,501,178,1166,0,0,350,4515,258,109,32,3,0,1679,531,1988,0,186,2,37,300,1,0,0,0,0,4,3665,0,11,24,90,1
TCGA-97-8177-01A-11R-2287-07,1702,2716,301,1034,702,1317,49,6,15644,88,2139,33,11,54,5613,3173,4404,2648,72,16,207,189,2522,612,795,594,253,596,2096,11434,750,746,299,5925,1167,2429,58,476,9235,749,2257,927,717,23573,3,2499,21,631,337,703,73,1573,184,800,1387,37,5,4190,5332,1,65,1931,16,37,138,524,3510,7,421,296,382,121279,3103,2,107,73,588,604,159,1485,5723,211,12,21,221,5966,1450,301,3492,37,1,1243,6188,16278,2,948,17,43,1371,333,3,76,0,13,40,19030,4,128,113,622,1
TCGA-67-3771-01A-01R-0946-07,520,718,120,86,434,431,8,3,1723,30,828,2,1,21,2114,1915,8280,1646,29,30,0,74,547,570,1247,10,49,162,557,4069,225,1072,132,1527,251,12,6,53,3498,193,708,320,395,1641,6,840,2,99,466,660,26,424,4,231,312,13,4,3588,4767,18,23,41,8,7,60,40,945,16,24,344,6,546,1320,2,40,12,55,137,63,646,606,68,4,109,744,4162,724,88,863,31,1,442,306,5178,1,307,7,21,300,1145,30,2,0,17,50,5288,0,11,37,66,1
TCGA-49-6744-01A-11R-1858-07,2505,3135,285,3258,787,1136,52,7,5610,108,3174,36,12,51,2976,3880,7067,5452,59,54,7,208,2007,523,433,142,424,949,916,5478,101,592,191,4950,806,485,82,623,10703,490,2394,588,1004,5850,15,2125,10,707,214,1183,152,2046,37,769,1428,212,11,5426,2632,43,226,65,147,10,361,913,1755,179,338,1932,257,59646,5051,6,307,122,418,807,217,2848,4253,349,17,21,938,4435,722,152,5318,24,2,1304,5354,13843,3,585,35,77,3816,320,6,102,5,7,59,13679,4,65,234,785,1
TCGA-MP-A4SW-01A-21R-A24X-07,607,2314,106,802,747,791,10,7,4890,44,815,15,9,8,1376,2730,2716,3053,39,77,19,65,2145,953,249,413,64,299,932,5652,65,721,1630,1447,311,169,50,152,10695,1081,824,428,396,9991,11,979,1,286,115,545,44,1013,37,320,833,40,7,2504,7254,6,58,311,2,48,70,108,2178,18,150,250,66,14284,941,2,41,7,237,575,58,661,5280,43,9,4,388,5376,282,263,649,21,3,837,1583,17168,0,313,8,64,621,260,0,79,0,5,8,6128,13,38,114,145,1
TCGA-97-8176-01A-11R-2403-07,461,910,148,547,371,333,11,1,2046,27,482,17,3,9,825,1611,1978,6882,12,15,1,95,308,534,88,112,52,439,303,2616,49,643,252,832,210,562,44,49,23679,155,755,203,454,2717,4,1232,9,72,76,668,60,769,15,304,594,18,0,2366,3442,3,47,91,7,22,102,35,8233,56,70,368,51,4019,871,6,66,3,91,461,50,1092,1883,57,16,3,328,6130,198,200,351,7,2,1706,1231,4722,0,183,8,29,242,383,0,12,0,5,25,6215,1,80,177,133,1
TCGA-97-7552-01A-11R-2039-07,4506,3650,619,88132,1571,783,60,11,14824,95,4307,20,19,11,2090,6320,8986,8460,275,40,59,164,4666,576,257,279,632,1306,1081,8330,610,239,1343,5345,1113,883,84,725,22735,607,1128,824,2289,7762,86,1873,12,1634,36,1178,260,2212,23,1075,2432,344,0,8610,3189,44,567,85,45,1503,327,377,1031,256,130,553,43,11575,2792,15,552,69,390,553,37,2058,13624,410,90,0,1108,740,66,261,7091,54,3,2065,5753,8333,9,1089,42,73,2095,1334,1,101,0,23,75,16857,6,211,622,386,1
TCGA-55-A48Z-01A-12R-A24X-07,552,726,143,9,597,941,3,6,1153,32,960,5,0,20,1048,1799,1782,1669,9,10,0,96,455,478,28,69,57,199,822,1969,67,706,349,2694,639,37,100,56,15087,1028,125,285,247,3508,0,1416,0,93,491,588,18,880,10,503,710,3,2,3804,5903,0,66,41,2,8,39,24,1386,6,40,32,1,135,251,0,82,12,374,757,10,338,298,171,20,9,587,2670,28,114,56,10,0,458,348,6471,8,816,19,59,158,160,0,6,1,1,20,5341,0,46,69,64,1
TCGA-50-5944-01A-11R-1755-07,4030,3500,298,201,1404,751,148,2,4699,58,3686,46,4,18,3262,4933,4674,645,77,6,67,88,5991,832,293,135,364,422,1001,4530,72,330,110,8020,469,999,845,971,3290,441,1546,439,422,6737,43,908,2,1409,49,619,173,2158,16,383,778,303,0,3766,3318,2,115,22,14,15,201,499,1350,5,472,144,105,19163,3410,2,141,75,522,233,154,567,11703,116,9,1,144,2193,678,67,6582,6,0,627,2399,21053,2,2344,7,25,3065,72,8,48,0,7,391,6872,0,33,178,140,1
